Keys,English,Vietnamese,Chinese (Simplified),Japanese,French,German,Spanish,Portuguese [pt-PT],Arabic,Russian,Korean,Italian,Hindi,Philipine [tl],Indo,Thai,Turkis
TXT_NOT_ENOUGH_COIN,Not Enough Coin,Không Đủ Xu,没有足够的硬币,コインが足りません,Pas Assez De Monnaie,Nicht Genug Geld,No Hay Suficiente Moneda,Moeda Insuficiente,عملة غير كافية,Недостаточно Монет,동전이 부족하다,Moneta Insufficiente,पर्याप्त सिक्का नहीं,Kulang Ang Barya,Koin Tidak Cukup,เหรียญไม่พอ,Yeterli Para Yok
TXT_NOT_ENOUGH_DIAMOND,Not Enough Diamond,Không Đủ Kim Cương,钻石不够,ダイヤモンドが足りない,Pas Assez De Diamant,Nicht Genug Diamant,No Hay Suficiente Diamante,Diamante Insuficiente,لا يكفي الماس,Не Хватает Бриллианта,다이아몬드가 충분하지 않다,Non Abbastanza Diamante,पर्याप्त हीरा नहीं,Hindi Sapat Na Brilyante,Tidak Cukup Berlian,เพชรไม่พอ,Yeterli Elmas Yok
TXT_NOT_ENOUGH_ITEM,Not Enough Item !!!,Không Đủ Đồ!!!,没有足够的项目！,アイテムが足りない!!!,Pas Assez D'article !!!,Nicht Genug Artikel !!!,¡No Hay Suficiente Artículo!,Item Insuficiente !!!,لا يوجد ما يكفي !!!,Не Хватает Товара!!!,아이템이 부족해요!!!,Articolo Insufficiente!!!,पर्याप्त वस्तु नहीं!!!,Kulang Ang Item!!!,Barangnya Tidak Cukup!!!,ของไม่พอ !!!,Yeterli Öğe Yok!!!
TXT_NOT_ENOUGH_KEY,Not Enough Key!,Không Đủ Chìa Khóa!,钥匙不够！,鍵が足りない！,Pas Assez De Clé !,Nicht Genug Schlüssel!,No Hay Suficiente Clave!,Chave Insuficiente!,مفتاح غير كاف!,Не Хватает Ключа!,열쇠가 부족해!,Chiave Insufficiente!,पर्याप्त कुंजी नहीं!,Kulang Ang Susi!,Tidak Cukup Kunci!,คีย์ไม่พอ!,Yeterli Anahtar Yok!
TXT_OPEN_IN_PRO_TIER,Open In Pro Tier,Mở Ở Cấp Chuyên Nghiệp,在专业级别中打开,プロレベルでオープン,Ouvert Au Niveau Pro,Offen Im Pro-Tier,Abrir En Nivel Profesional,Abrir No Nível Profissional,فتح في المستوى الاحترافي,Открыть На Профессиональном Уровне,프로 티어로 열기,Aperto In Pro Tier,प्रो टियर में खोलें,Bukas Sa Pro Tier,Buka Di Tingkat Pro,เปิดในระดับโปร,Profesyonel Katmanda Aç
TXT_PURCHASE_COMPLETED,Purchase Completed,Mua Hàng Đã Hoàn Tất,购买完成,購入完了,Achat Terminé,Kauf Abgeschlossen,Compra Completada,Compra Concluída,اكتملت عملية الشراء,Покупка Завершена,구매 완료,Acquisto Completato,खरीद पूरी हो गई,Natapos Ang Pagbili,Pembelian Selesai,การซื้อเสร็จสมบูรณ์,Satın Alma Tamamlandı
TXT_PURCHASE_FAILED,Purchase Failed!,Giao Dịch Thất Bại!,购买失败！,購入に失敗しました！,Achat Raté!,Kauf Gescheitert!,¡La Compra Falló!,A Compra Falhou!,الشراء لم ينجح!,Покупка Не Удалась!,구매 실패!,Acquisto Fallito!,खरीद विफल रही!,Nabigo Ang Pagbili!,Pembelian Gagal!,การซื้อล้มเหลว!,Satın Alma Başarısız Oldu!
TXT_PURCHASE_PREVIOUS_PACKAGE_FIRST,Purchase the previous package first!,Hãy mua gói trước đó trước!,先购买之前的套餐吧！,まずは前のパッケージを購入してください！,Achetez d’abord le package précédent !,Kaufen Sie zuerst das vorherige Paket!,¡Compra primero el paquete anterior!,Compre o pacote anterior primeiro!,قم بشراء الحزمة السابقة أولاً!,Сначала приобретите предыдущий пакет!,이전 패키지를 먼저 구매하세요!,Acquista prima il pacchetto precedente!,पहले पिछला पैकेज खरीदें!,Bumili muna ng nakaraang package!,Beli paket sebelumnya terlebih dahulu!,ซื้อแพ็คเกจก่อนหน้าก่อน!,Önce bir önceki paketi satın alın!
TXT_QUIT_CONFIRMATION,Are you sure to quit ?,Bạn có chắc chắn muốn thoát?,你确定要退出吗？,本当に辞めますか?,Etes-vous sûr d'arrêter ?,"Sind Sie sicher, dass Sie aufhören?",¿Estás seguro de dejar de fumar?,Tem certeza de desistir?,هل أنت متأكد من الإقلاع عن التدخين؟,"Вы уверены, что бросите?",정말 그만두시겠어요?,Sei sicuro di smettere?,क्या आप निश्चित रूप से पद छोड़ देंगे?,Sigurado ka bang mag-quit?,Apakah kamu yakin untuk berhenti?,แน่ใจเหรอว่าจะเลิก?,Bırakacağınızdan emin misiniz?
TXT_RESTORE_FAILED,Restore Failed!,Khôi Phục Không Thành Công!,恢复失败！,復元に失敗しました!,La Restauration A Échoué !,Wiederherstellung Fehlgeschlagen!,¡La Restauración Falló!,Falha Na Restauração!,فشلت عملية الاستعادة!,Восстановить Не Удалось!,복원 실패!,Ripristino Non Riuscito!,पुनर्स्थापना विफल!,Hindi Naibalik!,Pemulihan Gagal!,การกู้คืนล้มเหลว!,Geri Yükleme Başarısız Oldu!
TXT_SEASON_BEGIN,New Season has begun!,Mùa giải mới đã bắt đầu!,新赛季开始了！,新しいシーズンが始まりました！,La nouvelle saison a commencé !,Die neue Saison hat begonnen!,¡La nueva temporada ha comenzado!,A nova temporada começou!,لقد بدأ الموسم الجديد!,Новый Сезон начался!,새로운 시즌이 시작되었습니다!,La nuova stagione è iniziata!,नया सत्र शुरू हो गया है!,Nagsimula na ang Bagong Panahon!,Musim Baru telah dimulai!,ฤดูกาลใหม่เริ่มขึ้นแล้ว!,Yeni Sezon başladı!
TXT_SEASON_CLOSED,Previous Season is closed!,Mùa trước đã kết thúc!,上一季已关闭！,前シーズンは終了しました！,La saison précédente est fermée !,Die vorherige Saison ist geschlossen!,¡La temporada anterior está cerrada!,A temporada anterior está encerrada!,تم إغلاق الموسم السابق!,Предыдущий сезон закрыт!,이전 시즌이 마감되었습니다!,La stagione precedente è chiusa!,पिछला सीजन बंद है!,Sarado na ang nakaraang Season!,Musim Sebelumnya ditutup!,ปิดซีซั่นก่อน!,Önceki Sezon kapandı!
TXT_SELECT_HERO_TO_RESEARCH,You Must Select Hero To Research!,Bạn Phải Chọn Anh Hùng Để Nghiên Cứu!,你必须选择英雄来研究！,研究するヒーローを選択する必要があります!,Vous Devez Sélectionner Le Héros À Rechercher !,"Sie Müssen Einen Helden Auswählen, Den Sie Erforschen Möchten!",¡Debes Seleccionar El Héroe Para Investigar!,Você Deve Selecionar O Herói Para Pesquisar!,يجب عليك اختيار البطل للبحث!,Вы Должны Выбрать Героя Для Исследования!,연구할 영웅을 선택해야 합니다!,Devi Selezionare L'eroe Da Ricercare!,आपको शोध के लिए नायक का चयन करना होगा!,Dapat Kang Pumili Ng Bayani Upang Magsaliksik!,Anda Harus Memilih Pahlawan Untuk Diteliti!,คุณต้องเลือกฮีโร่เพื่อวิจัย!,Araştırmak Için Kahraman Seçmelisiniz!
TXT_SKIP_TUTORIAL_DES,"By skipping, player cannot return back to tutorial scene !","Bằng cách bỏ qua, người chơi không thể quay lại cảnh hướng dẫn!",通过跳过，玩家无法返回到教程场景！,スキップするとチュートリアルシーンに戻れなくなります！,"En sautant, le joueur ne peut pas revenir à la scène du didacticiel !",Durch das Überspringen kann der Spieler nicht zur Tutorialszene zurückkehren!,"¡Al saltar, el jugador no puede regresar a la escena del tutorial!","Ao pular, o jogador não pode retornar à cena do tutorial!",من خلال التخطي، لا يمكن للاعب العودة إلى المشهد التعليمي!,"Пропустив, игрок не сможет вернуться обратно к обучающей сцене!",건너뛰면 플레이어가 튜토리얼 장면으로 돌아갈 수 없습니다!,"Saltando, il giocatore non può tornare alla scena del tutorial!","स्किप करने से, प्लेयर ट्यूटोरियल दृश्य पर वापस नहीं लौट सकता!","Sa pamamagitan ng paglaktaw, hindi na makakabalik ang manlalaro sa eksena ng tutorial!","Dengan melewatkan, pemain tidak dapat kembali ke adegan tutorial!",หากข้าม ผู้เล่นจะไม่สามารถกลับไปยังฉากฝึกสอนได้!,Atlandığında oyuncu eğitim sahnesine geri dönemez!
TXT_SPECIAL_CHARACTERS_NOT_ALLOWED,Special characters are not allowed.,Ký tự đặc biệt không được phép.,不允许有特殊字符。,特殊文字は使用できません。,Les caractères spéciaux ne sont pas autorisés.,Sonderzeichen sind nicht erlaubt.,Caracteres especiales no están permitidos.,Caracteres especiais não são permitidos.,يمنع استعمال الرموز.,Спецсимволы не допустимы.,특수 문자는 허용되지 않습니다.,Non sono ammessi caratteri speciali.,विशेष वर्णों की अनुमति नहीं है।,Espesyal na karaktet ay hindi maari.,Karakter spesial tidak diperbolehkan.,ไม่อนุญาตให้ใช้อักขระพิเศษ,Özel karakterlere izin verilmez.
TXT_SUCCESSFULLY_RESEARCHED,"Successfully Researched!
Wait For The Experiment Completed.","Đã Nghiên Cứu Thành Công!
Chờ Cho Thí Nghiệm Hoàn Thành.","研究成功！
等待实验完成。","無事に調査が完了しました！
実験が完了するまで待ちます。","Recherché Avec Succès!
Attendez Que L'expérience Soit Terminée.","Erfolgreich Recherchiert!
Warten Sie, Bis Das Experiment Abgeschlossen Ist.","Investigado Con Éxito!
Espere A Que Se Complete El Experimento.","Pesquisado Com Sucesso!
Aguarde A Conclusão Do Experimento.","بحثت بنجاح!
انتظر حتى تكتمل التجربة.","Успешно Исследовано!
Дождитесь Завершения Эксперимента.","성공적으로 연구되었습니다!
실험이 완료될 때까지 기다리세요.","Ricercato Con Successo!
Attendere Il Completamento Dell'esperimento.","सफलतापूर्वक शोध किया गया!
प्रयोग पूरा होने तक प्रतीक्षा करें.","Matagumpay Na Nasaliksik!
Hintaying Makumpleto Ang Eksperimento.","Berhasil Diteliti!
Tunggu Hingga Percobaan Selesai.","วิจัยสำเร็จแล้ว!
รอให้การทดสอบเสร็จสิ้น","Başarıyla Araştırıldı!
Deneyin Tamamlanmasını Bekleyin."
TXT_SUCCESSFULLY_RESET,Successfully Reset,Thiết Lập Lại Thành Công,重置成功,正常にリセットされました,Réinitialiser Avec Succès,Erfolgreich Zurückgesetzt,Restablecer Con Éxito,Resetado Com Sucesso,إعادة تعيين بنجاح,Успешно Сброшен,성공적으로 재설정,Resettato Con Successo,सफलतापूर्वक रीसेट करें,Matagumpay Na Na-Reset,Berhasil Diatur Ulang,รีเซ็ตสำเร็จ,Başarıyla Sıfırlandı
TXT_SUCCESSFULLY_RESTORED,Successfully Restored!,Đã Khôi Phục Thành Công!,成功恢复！,無事復元されました！,Restauré Avec Succès !,Erfolgreich Restauriert!,Restaurado Con Éxito!,Restaurado Com Sucesso!,تمت استعادته بنجاح!,Успешно Восстановлен!,성공적으로 복원되었습니다!,Restaurato Con Successo!,सफलतापूर्वक बहाल!,Matagumpay Na Naibalik!,Berhasil Dipulihkan!,กู้คืนสำเร็จแล้ว!,Başarıyla Geri Yüklendi!
TXT_UNDER_MAINTENANCE,Under Maintenance !!!,Đang Bảo Trì !!!,正在维修 ！！！,メンテナンス中 ！！！,En Maintenance !!!,Wird Gewartet !!!,En Mantenimiento !!!,Em Manutenção !!!,تحت الصيانة !!!,На Техобслуживании !!!,보수 작업중 !!!,In Manutenzione !!!,रखरखाव जारी !!!,Isinasaayos Pa !!!,Dalam Perbaikan !!!,ภายใต้การบำรุงรักษา !!!,Bakımda !!!
